Id,Name,City,State,Country,Region,IATA,ICAO,Latitude,Longitude,Elevation,UTC,DST
6280,Karumba Airport,Karumba,Brisbane,Australia,Australia,KRB,YKMB,-17.4567,140.83,5,10,O
6281,Kowanyama Airport,Kowanyama,Brisbane,Australia,Australia,KWM,YKOW,-15.4856,141.751,35,10,O
6282,Kubin Airport,Kubin,Brisbane,Australia,Australia,KUG,YKUB,-10.225,142.218,15,10,O
6283,Leonora Airport,Leonora,Perth,Australia,Australia,LNO,YLEO,-28.8781,121.315,1217,8,O
6284,Lake Evella Airport,Lake Evella,Darwin,Australia,Australia,LEL,YLEV,-12.4989,135.806,256,9.5,O
6285,Lord Howe Island Airport,Lord Howe Island,NULL,Australia,#VALUE!,LDH,YLHI,-31.5383,159.077,5,10.5,O
6286,Lockhart River Airport,Lockhart River,Brisbane,Australia,Australia,IRG,YLHR,-12.7869,143.305,77,10,O
6287,Lismore Airport,Lismore,Sydney,Australia,Australia,LSY,YLIS,-28.8303,153.26,35,10,O
6288,Lightning Ridge Airport,Lightning Ridge,Sydney,Australia,Australia,LHG,YLRD,-29.4567,147.984,540,10,O
6289,Longreach Airport,Longreach,Brisbane,Australia,Australia,LRE,YLRE,-23.4342,144.28,627,10,O
6290,Leinster Airport,Leinster,Perth,Australia,Australia,LER,YLST,-27.8433,120.703,1631,8,O
6291,Laverton Airport,Laverton,Perth,Australia,Australia,LVO,YLTN,-28.6136,122.424,1530,8,O
6292,Mabuiag Island Airport,Mabuiag Island,Brisbane,Australia,Australia,UBB,YMAA,-9.95,142.183,0,10,O
6293,Meekatharra Airport,Meekatharra,Perth,Australia,Australia,MKR,YMEK,-26.6117,118.548,1713,8,O
6294,Merimbula Airport,Merimbula,Sydney,Australia,Australia,MIM,YMER,-36.9086,149.901,7,10,O
6295,Milingimbi Airport,Milingimbi,Darwin,Australia,Australia,MGT,YMGB,-12.0944,134.894,53,9.5,O
6296,Maningrida Airport,Maningrida,Darwin,Australia,Australia,MNG,YMGD,-12.0561,134.234,123,9.5,O
6297,McArthur River Mine Airport,McArthur River Mine,Darwin,Australia,Australia,MCV,YMHU,-16.4425,136.084,131,9.5,O
6298,Mildura Airport,Mildura,Hobart,Australia,Australia,MQL,YMIA,-34.2292,142.086,167,10,O
6299,Mount Magnet Airport,Mount Magnet,Perth,Australia,Australia,MMG,YMOG,-28.1161,117.842,1354,8,O
6300,Moree Airport,Moree,Sydney,Australia,Australia,MRZ,YMOR,-29.4989,149.845,701,10,O
6301,Moranbah Airport,Moranbah,Brisbane,Australia,Australia,MOV,YMRB,-22.0578,148.077,770,10,O
6302,Moruya Airport,Moruya,Sydney,Australia,Australia,MYA,YMRY,-35.8978,150.144,14,10,O
6303,Mount Gambier Airport,Mount Gambier,Adelaide,Australia,Australia,MGB,YMTG,-37.7456,140.785,212,9.5,O
6304,Mornington Island Airport,Mornington Island,Brisbane,Australia,Australia,ONG,YMTI,-16.6625,139.178,33,10,O
6305,Murray Island Airport,Murray Island,NULL,Australia,#VALUE!,MYI,YMUI,-9.91667,144.055,0,10,O
6306,Maryborough Airport,Maryborough,Brisbane,Australia,Australia,MBH,YMYB,-25.5133,152.715,38,10,O
6307,Narrandera Airport,Narrandera,Sydney,Australia,Australia,NRA,YNAR,-34.7022,146.512,474,10,O
6308,Narrabri Airport,Narrabri,Sydney,Australia,Australia,NAA,YNBR,-30.3192,149.827,788,10,O
6309,Normanton Airport,Normanton,Brisbane,Australia,Australia,NTN,YNTN,-17.6836,141.07,73,10,O
6310,Newman Airport,Newman,Perth,Australia,Australia,ZNE,YNWN,-23.4178,119.803,1724,8,O
6311,Olympic Dam Airport,Olympic Dam,Adelaide,Australia,Australia,OLP,YOLD,-30.485,136.877,343,9.5,O
6312,Port Augusta Airport,Argyle,Adelaide,Australia,Australia,PUG,YPAG,-32.506944,137.716667,56,9.5,O
6313,Palm Island Airport,Palm Island,Brisbane,Australia,Australia,PMK,YPAM,-18.7553,146.581,28,10,O
6314,Paraburdoo Airport,Paraburdoo,Perth,Australia,Australia,PBO,YPBO,-23.1711,117.745,1406,8,O
6315,Cocos Keeling Island Airport,Cocos Keeling Island,Cocos,Cocos (Keeling) Islands,Indian,CCK,YPCC,-12.1883,96.8339,10,6.5,U
6316,Gove Airport,Gove,Darwin,Australia,Australia,GOV,YPGV,-12.2694,136.818,192,9.5,O
6317,Parkes Airport,Parkes,Sydney,Australia,Australia,PKE,YPKS,-33.1314,148.239,1069,10,O
6318,Port Lincoln Airport,Port Lincoln,Adelaide,Australia,Australia,PLO,YPLC,-34.6053,135.88,36,9.5,O
