Id,Name,City,State,Country,Region,IATA,ICAO,Latitude,Longitude,Elevation,UTC,DST
1,Goroka,Goroka,Port Moresby,Papua New Guinea,Pacific,GKA,AYGA,-6.081689,145.391881,5282,10,U
2,Madang,Madang,Port Moresby,Papua New Guinea,Pacific,MAG,AYMD,-5.207083,145.7887,20,10,U
3,Mount Hagen,Mount Hagen,Port Moresby,Papua New Guinea,Pacific,HGU,AYMH,-5.826789,144.295861,5388,10,U
4,Nadzab,Nadzab,Port Moresby,Papua New Guinea,Pacific,LAE,AYNZ,-6.569828,146.726242,239,10,U
5,Port Moresby Jacksons Intl,Port Moresby,Port Moresby,Papua New Guinea,Pacific,POM,AYPY,-9.443383,147.22005,146,10,U
6,Wewak Intl,Wewak,Port Moresby,Papua New Guinea,Pacific,WWK,AYWK,-3.583828,143.669186,19,10,U
7,Narsarsuaq,Narssarssuaq,Godthab,Greenland,America,UAK,BGBW,61.160517,-45.425978,112,-3,E
8,Nuuk,Godthaab,Godthab,Greenland,America,GOH,BGGH,64.190922,-51.678064,283,-3,E
9,Sondre Stromfjord,Sondrestrom,Godthab,Greenland,America,SFJ,BGSF,67.016969,-50.689325,165,-3,E
10,Thule Air Base,Thule,Thule,Greenland,America,THU,BGTL,76.531203,-68.703161,251,-4,E
11,Akureyri,Akureyri,Reykjavik,Iceland,Atlantic,AEY,BIAR,65.659994,-18.072703,6,0,N
12,Egilsstadir,Egilsstadir,Reykjavik,Iceland,Atlantic,EGS,BIEG,65.283333,-14.401389,76,0,N
13,Hornafjordur,Hofn,Reykjavik,Iceland,Atlantic,HFN,BIHN,64.295556,-15.227222,24,0,N
14,Husavik,Husavik,Reykjavik,Iceland,Atlantic,HZK,BIHU,65.952328,-17.425978,48,0,N
15,Isafjordur,Isafjordur,Reykjavik,Iceland,Atlantic,IFJ,BIIS,66.058056,-23.135278,8,0,N
16,Keflavik International Airport,Keflavik,Reykjavik,Iceland,Atlantic,KEF,BIKF,63.985,-22.605556,171,0,N
17,Patreksfjordur,Patreksfjordur,Reykjavik,Iceland,Atlantic,PFJ,BIPA,65.555833,-23.965,11,0,N
18,Reykjavik,Reykjavik,Reykjavik,Iceland,Atlantic,RKV,BIRK,64.13,-21.940556,48,0,N
19,Siglufjordur,Siglufjordur,Reykjavik,Iceland,Atlantic,SIJ,BISI,66.133333,-18.916667,10,0,N
20,Vestmannaeyjar,Vestmannaeyjar,Reykjavik,Iceland,Atlantic,VEY,BIVM,63.424303,-20.278875,326,0,N
21,Sault Ste Marie,Sault Sainte Marie,Toronto,Canada,America,YAM,CYAM,46.485001,-84.509445,630,-5,A
22,Winnipeg St Andrews,Winnipeg,Winnipeg,Canada,America,YAV,CYAV,50.056389,-97.0325,760,-6,A
23,Shearwater,Halifax,Halifax,Canada,America,YAW,CYAW,44.639721,-63.499444,167,-4,A
24,St Anthony,St. Anthony,St Johns,Canada,America,YAY,CYAY,51.391944,-56.083056,108,-3.5,A
25,Tofino,Tofino,Vancouver,Canada,America,YAZ,CYAZ,49.082222,-125.7725,80,-8,A
26,Kugaaruk,Pelly Bay,Edmonton,Canada,America,YBB,CYBB,68.534444,-89.808056,56,-7,A
27,Baie Comeau,Baie Comeau,Toronto,Canada,America,YBC,CYBC,49.1325,-68.204444,71,-5,A
28,Bagotville,Bagotville,Toronto,Canada,America,YBG,CYBG,48.330555,-70.996391,522,-5,A
29,Baker Lake,Baker Lake,Winnipeg,Canada,America,YBK,CYBK,64.298889,-96.077778,59,-6,A
30,Campbell River,Campbell River,Vancouver,Canada,America,YBL,CYBL,49.950832,-125.270833,346,-8,A
31,Brandon Muni,Brandon,Winnipeg,Canada,America,YBR,CYBR,49.91,-99.951944,1343,-6,A
32,Cambridge Bay,Cambridge Bay,Edmonton,Canada,America,YCB,CYCB,69.108055,-105.138333,90,-7,A
33,Nanaimo,Nanaimo,Vancouver,Canada,America,YCD,CYCD,49.052333,-123.870167,93,-8,A
34,Castlegar,Castlegar,Vancouver,Canada,America,YCG,CYCG,49.296389,-117.6325,1624,-8,A
35,Miramichi,Chatham,Halifax,Canada,America,YCH,CYCH,47.007778,-65.449167,108,-4,A
36,Charlo,Charlo,Halifax,Canada,America,YCL,CYCL,47.990833,-66.330278,132,-4,A
37,Kugluktuk,Coppermine,Edmonton,Canada,America,YCO,CYCO,67.816667,-115.143889,74,-7,A
38,Coronation,Coronation,Edmonton,Canada,America,YCT,CYCT,52.075001,-111.445278,2595,-7,A
39,Chilliwack,Chilliwack,Vancouver,Canada,America,YCW,CYCW,49.152779,-121.93889,32,-8,A
40,Clyde River,Clyde River,Toronto,Canada,America,YCY,CYCY,70.486111,-68.516667,87,-5,A
41,Fairmont Hot Springs,Coral Harbour,Coral Harbour,Canada,America,YZS,CYCZ,64.193333,-83.359444,2661,-5,A
42,Dawson City,Dawson,Vancouver,Canada,America,YDA,CYDA,64.043056,-139.127778,1215,-8,A
43,Burwash,Burwash,Vancouver,Canada,America,YDB,CYDB,61.371111,-139.040556,2647,-8,A
44,Princeton,Princeton,Vancouver,Canada,America,YDC,CYDC,49.468056,-120.511389,2298,-8,A
45,Deer Lake,Deer Lake,St Johns,Canada,America,YDF,CYDF,49.210833,-57.391388,72,-3.5,A
46,Dease Lake,Dease Lake,Vancouver,Canada,America,YDL,CYDL,58.422222,-130.032222,2600,-8,A
47,Dauphin Barker,Dauphin,Winnipeg,Canada,America,YDN,CYDN,51.100834,-100.0525,999,-6,A
48,Dawson Creek,Dawson Creek,Dawson Creek,Canada,America,YDQ,CYDQ,55.742333,-120.183,2148,-7,A
49,Edmonton Intl,Edmonton,Edmonton,Canada,America,YEG,CYEG,53.309723,-113.579722,2373,-7,A
50,Arviat,Eskimo Point,Winnipeg,Canada,America,YEK,CYEK,61.094166,-94.070833,32,-6,A
51,Estevan,Estevan,Regina,Canada,America,YEN,CYEN,49.210278,-102.965833,1905,-6,N
52,Edson,Edson,Edmonton,Canada,America,YET,CYET,53.578888,-116.465,3041,-7,A
53,Eureka,Eureka,Winnipeg,Canada,America,YEU,CYEU,79.994722,-85.814167,256,-6,A
54,Inuvik Mike Zubko,Inuvik,Edmonton,Canada,America,YEV,CYEV,68.304167,-133.482778,224,-7,A
55,Iqaluit,Iqaluit,Toronto,Canada,America,YFB,CYFB,63.75639,-68.555832,110,-5,A
56,Fredericton,Fredericton,Halifax,Canada,America,YFC,CYFC,45.868889,-66.537222,68,-4,A
57,Forestville,Forestville,Toronto,Canada,America,,CYFE,48.746111,-69.097222,293,-5,A
58,Flin Flon,Flin Flon,Winnipeg,Canada,America,YFO,CYFO,54.678055,-101.681667,997,-6,A
59,Fort Resolution,Fort Resolution,Edmonton,Canada,America,YFR,CYFR,61.180832,-113.689722,526,-7,A
60,Fort Simpson,Fort Simpson,Edmonton,Canada,America,YFS,CYFS,61.760153,-121.236525,555,-7,A
61,Kingston,Kingston,Toronto,Canada,America,YGK,CYGK,44.225277,-76.596944,305,-5,A
62,La Grande Riviere,La Grande Riviere,Toronto,Canada,America,YGL,CYGL,53.625278,-77.704167,639,-5,A
63,Gaspe,Gaspe,Toronto,Canada,America,YGP,CYGP,48.775278,-64.478611,108,-5,A
64,Geraldton Greenstone Regional,Geraldton,Toronto,Canada,America,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A
65,Iles De La Madeleine,Iles De La Madeleine,Toronto,Canada,America,YGR,CYGR,47.424721,-61.778056,35,-5,A
66,Hudson Bay,Hudson Bay,Regina,Canada,America,YHB,CYHB,52.816666,-102.31139,1175,-6,N
67,Dryden Rgnl,Dryden,Winnipeg,Canada,America,YHD,CYHD,49.831667,-92.744167,1354,-6,A
68,Ulukhaktok Holman,Holman Island,Edmonton,Canada,America,YHI,CYHI,70.762778,-117.806111,117,-7,A
69,Gjoa Haven,Gjoa Haven,Edmonton,Canada,America,YHK,CYHK,68.635556,-95.849722,152,-7,A
70,Hamilton,Hamilton,Toronto,Canada,America,YHM,CYHM,43.173611,-79.935,780,-5,A
71,St Hubert,Montreal,Toronto,Canada,America,YHU,CYHU,45.5175,-73.416944,90,-5,A
72,Hay River,Hay River,Edmonton,Canada,America,YHY,CYHY,60.839722,-115.782778,543,-7,A
73,Halifax Intl,Halifax,Halifax,Canada,America,YHZ,CYHZ,44.880833,-63.50861,477,-4,A
74,Atikokan Muni,Atikokan,Coral Harbour,Canada,America,YIB,CYIB,48.773888,-91.638611,1408,-5,A
75,Pond Inlet,Pond Inlet,Toronto,Canada,America,YIO,CYIO,72.683334,-77.966667,181,-5,A
76,St Jean,St. Jean,Toronto,Canada,America,YJN,CYJN,45.294445,-73.281111,136,-5,A
77,Stephenville,Stephenville,St Johns,Canada,America,YJT,CYJT,48.544167,-58.549999,80,-3.5,A
78,Kamloops,Kamloops,Vancouver,Canada,America,YKA,CYKA,50.702222,-120.444444,1133,-8,A
79,Waterloo,Waterloo,Toronto,Canada,America,YKF,CYKF,43.460833,-80.378611,1054,-5,A
80,Schefferville,Schefferville,Toronto,Canada,America,YKL,CYKL,54.805278,-66.805278,1709,-5,A
81,Kindersley,Kindersley,Regina,Canada,America,YKY,CYKY,51.5175,-109.180833,2277,-6,N
82,Buttonville Muni,Toronto,Toronto,Canada,America,YKZ,CYKZ,43.862221,-79.37,650,-5,A
83,Chapleau,Chapleau,Toronto,Canada,America,YLD,CYLD,47.82,-83.346667,1470,-5,A
84,Meadow Lake,Meadow Lake,Regina,Canada,America,YLJ,CYLJ,54.125278,-108.522778,1576,-6,N
85,Lloydminster,Lloydminster,Edmonton,Canada,America,YLL,CYLL,53.309166,-110.0725,2193,-7,A
86,Alert,Alert,Toronto,Canada,America,YLT,CYLT,82.517778,-62.280556,100,-5,A
87,Kelowna,Kelowna,Vancouver,Canada,America,YLW,CYLW,49.956112,-119.377778,1409,-8,A
88,Mayo,Mayo,Vancouver,Canada,America,YMA,CYMA,63.616389,-135.868333,1653,-8,A
89,Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Regina,Canada,America,YMJ,CYMJ,50.330278,-105.559167,1892,-6,N
90,Fort Mcmurray,Fort Mcmurray,Edmonton,Canada,America,YMM,CYMM,56.653333,-111.221944,1211,-7,A
91,Moosonee,Moosonee,Toronto,Canada,America,YMO,CYMO,51.291111,-80.607778,30,-5,A
92,Maniwaki,Maniwaki,Toronto,Canada,America,YMW,CYMW,46.272778,-75.990556,656,-5,A
93,Montreal Intl Mirabel,Montreal,Toronto,Canada,America,YMX,CYMX,45.681944,-74.005278,270,-5,A
94,Natashquan,Natashquan,Toronto,Canada,America,YNA,CYNA,50.19,-61.789167,39,-5,A
95,Gatineau,Gatineau,Toronto,Canada,America,YND,CYND,45.521694,-75.563589,211,-5,A
96,Matagami,Matagami,Toronto,Canada,America,YNM,CYNM,49.761667,-77.802778,918,-5,A
97,Old Crow,Old Crow,Vancouver,Canada,America,YOC,CYOC,67.570556,-139.839167,824,-8,A
98,Cold Lake,Cold Lake,Edmonton,Canada,America,YOD,CYOD,54.404999,-110.279444,1775,-7,A
99,High Level,High Level,Edmonton,Canada,America,YOJ,CYOJ,58.621389,-117.164722,1110,-7,A
100,Ottawa Macdonald Cartier Intl,Ottawa,Toronto,Canada,America,YOW,CYOW,45.3225,-75.669167,374,-5,A
101,Prince Albert Glass Field,Prince Albert,Regina,Canada,America,YPA,CYPA,53.214167,-105.672778,1405,-6,N
102,Peace River,Peace River,Edmonton,Canada,America,YPE,CYPE,56.226944,-117.447222,1873,-7,A
103,Southport,Portage-la-prairie,Winnipeg,Canada,America,YPG,CYPG,49.903056,-98.273889,885,-6,A
104,Pitt Meadows,Pitt Meadows,Vancouver,Canada,America,,CYPK,49.21611,-122.71,11,-8,A
105,Pickle Lake,Pickle Lake,Coral Harbour,Canada,America,YPL,CYPL,51.446388,-90.214167,1267,-5,A
106,Port Menier,Port Menier,Toronto,Canada,America,YPN,CYPN,49.836389,-64.288611,167,-5,A
107,Peterborough,Peterborough,Toronto,Canada,America,YPQ,CYPQ,44.23,-78.363333,628,-5,A
108,Prince Rupert,Prince Pupert,Vancouver,Canada,America,YPR,CYPR,54.28611,-130.444722,116,-8,A
109,Fort Chipewyan,Fort Chipewyan,Edmonton,Canada,America,YPY,CYPY,58.767223,-111.117222,761,-7,A
110,Muskoka,Muskoka,Toronto,Canada,America,YQA,CYQA,44.974722,-79.303333,925,-5,A
111,Quebec Jean Lesage Intl,Quebec,Toronto,Canada,America,YQB,CYQB,46.791111,-71.393333,244,-5,A
112,Red Deer Regional,Red Deer Industrial,Edmonton,Canada,America,YQF,CYQF,52.182222,-113.894444,2968,-7,A
113,Windsor,Windsor,Toronto,Canada,America,YQG,CYQG,42.275556,-82.955556,622,-5,A
114,Watson Lake,Watson Lake,Vancouver,Canada,America,YQH,CYQH,60.116389,-128.8225,2255,-8,A
115,Kenora,Kenora,Winnipeg,Canada,America,YQK,CYQK,49.788334,-94.363056,1332,-6,A
116,Lethbridge,Lethbridge,Edmonton,Canada,America,YQL,CYQL,49.630278,-112.799722,3047,-7,A
117,Greater Moncton Intl,Moncton,Halifax,Canada,America,YQM,CYQM,46.112221,-64.678611,232,-4,A
119,Comox,Comox,Vancouver,Canada,America,YQQ,CYQQ,49.710833,-124.886667,84,-8,A
120,Regina Intl,Regina,Regina,Canada,America,YQR,CYQR,50.431944,-104.665833,1894,-6,N
121,Thunder Bay,Thunder Bay,Toronto,Canada,America,YQT,CYQT,48.371944,-89.323889,653,-5,A
122,Grande Prairie,Grande Prairie,Edmonton,Canada,America,YQU,CYQU,55.179722,-118.885,2195,-7,A
123,Yorkton Muni,Yorkton,Regina,Canada,America,YQV,CYQV,51.264721,-102.461667,1635,-6,N
124,North Battleford,North Battleford,Regina,Canada,America,YQW,CYQW,52.769167,-108.24361,1799,-6,N
125,Gander Intl,Gander,St Johns,Canada,America,YQX,CYQX,48.936944,-54.568056,496,-3.5,A
126,Sydney,Sydney,Halifax,Canada,America,YQY,CYQY,46.161388,-60.047779,203,-4,A
127,Quesnel,Quesnel,Vancouver,Canada,America,YQZ,CYQZ,53.026112,-122.510278,1789,-8,A
128,Resolute Bay,Resolute,Winnipeg,Canada,America,YRB,CYRB,74.716944,-94.969444,215,-6,A
129,Riviere Du Loup,Riviere Du Loup,Toronto,Canada,America,YRI,CYRI,47.764444,-69.584722,427,-5,A
130,Roberval,Roberval,Toronto,Canada,America,YRJ,CYRJ,48.52,-72.265556,586,-5,A
131,Rocky Mountain House,Rocky Mountain House,Edmonton,Canada,America,YRM,CYRM,52.429722,-114.904167,3244,-7,A
132,Rankin Inlet,Rankin Inlet,Winnipeg,Canada,America,YRT,CYRT,62.81139,-92.115833,94,-6,A
133,Sudbury,Sudbury,Toronto,Canada,America,YSB,CYSB,46.625,-80.798889,1141,-5,A
134,Sherbrooke,Sherbrooke,Toronto,Canada,America,YSC,CYSC,45.438611,-71.691389,792,-5,A
135,Saint John,St. John,Halifax,Canada,America,YSJ,CYSJ,45.316111,-65.890278,357,-4,A
136,Fort Smith,Fort Smith,Edmonton,Canada,America,YSM,CYSM,60.020278,-111.961944,671,-7,A
137,Nanisivik,Nanisivik,Toronto,Canada,America,YSR,CYSR,72.982222,-84.613611,2106,-5,A
138,Summerside,Summerside,Halifax,Canada,America,YSU,CYSU,46.440556,-63.833611,56,-4,A
139,Sachs Harbour,Sachs Harbour,Edmonton,Canada,America,YSY,CYSY,71.993889,-125.2425,282,-7,A
140,Cape Dorset,Cape Dorset,Toronto,Canada,America,YTE,CYTE,64.23,-76.526667,164,-5,A
141,Thompson,Thompson,Winnipeg,Canada,America,YTH,CYTH,55.801111,-97.864166,729,-6,A
142,Trenton,Trenton,Toronto,Canada,America,YTR,CYTR,44.118889,-77.528056,283,-5,A
143,Timmins,Timmins,Toronto,Canada,America,YTS,CYTS,48.569721,-81.376667,967,-5,A
144,City Centre,Toronto,Toronto,Canada,America,YTZ,CYTZ,43.627499,-79.396167,251,-5,A
145,Tuktoyaktuk,Tuktoyaktuk,Edmonton,Canada,America,YUB,CYUB,69.433334,-133.026389,15,-7,A
146,Pierre Elliott Trudeau Intl,Montreal,Toronto,Canada,America,YUL,CYUL,45.470556,-73.740833,118,-5,A
147,Repulse Bay,Repulse Bay,Winnipeg,Canada,America,YUT,CYUT,66.521389,-86.224722,80,-6,A
148,Hall Beach,Hall Beach,Toronto,Canada,America,YUX,CYUX,68.776111,-81.243611,27,-5,A
149,Rouyn Noranda,Rouyn,Toronto,Canada,America,YUY,CYUY,48.206111,-78.835556,988,-5,A
150,La Ronge,La Ronge,Regina,Canada,America,YVC,CYVC,55.15139,-105.261944,1242,-6,N
151,Vermilion,Vermillion,Edmonton,Canada,America,YVG,CYVG,53.355833,-110.82389,2025,-7,A
152,Qikiqtarjuaq,Broughton Island,Toronto,Canada,America,YVM,CYVM,67.545833,-64.031389,21,-5,A
153,Val D Or,Val D'or,Toronto,Canada,America,YVO,CYVO,48.053333,-77.782778,1107,-5,A
154,Kuujjuaq,Quujjuaq,Toronto,Canada,America,YVP,CYVP,58.096111,-68.426944,129,-5,A
155,Norman Wells,Norman Wells,Edmonton,Canada,America,YVQ,CYVQ,65.281617,-126.798219,238,-7,A
156,Vancouver Intl,Vancouver,Vancouver,Canada,America,YVR,CYVR,49.193889,-123.184444,14,-8,A
157,Buffalo Narrows,Buffalo Narrows,Regina,Canada,America,YVT,CYVT,55.841944,-108.4175,1444,-6,N
158,Wiarton,Wiarton,Toronto,Canada,America,YVV,CYVV,44.745834,-81.107222,729,-5,A
159,Petawawa,Petawawa,Toronto,Canada,America,YWA,CYWA,45.952221,-77.319168,427,-5,A
160,Winnipeg Intl,Winnipeg,Winnipeg,Canada,America,YWG,CYWG,49.910036,-97.239886,783,-6,A
161,Wabush,Wabush,Halifax,Canada,America,YWK,CYWK,52.921944,-66.864444,1808,-4,A
162,Williams Lake,Williams Lake,Vancouver,Canada,America,YWL,CYWL,52.183056,-122.054167,3085,-8,A
163,Wrigley,Wrigley,Edmonton,Canada,America,YWY,CYWY,63.209444,-123.436667,489,-7,A
164,Canadian Rockies Intl,Cranbrook,Edmonton,Canada,America,YXC,CYXC,49.612222,-115.781944,3084,-7,A
165,Edmonton City Centre,Edmonton,Edmonton,Canada,America,YXD,CYXD,53.5725,-113.520556,2200,-7,A
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Regina,Canada,America,YXE,CYXE,52.170834,-106.699722,1653,-6,N
167,Medicine Hat,Medicine Hat,Edmonton,Canada,America,YXH,CYXH,50.01889,-110.720833,2352,-7,A
168,Fort St John,Fort Saint John,Dawson Creek,Canada,America,YXJ,CYXJ,56.238056,-120.740278,2280,-7,A
169,Sioux Lookout,Sioux Lookout,Winnipeg,Canada,America,YXL,CYXL,50.113889,-91.905278,1258,-6,A
170,Pangnirtung,Pangnirtung,Toronto,Canada,America,YXP,CYXP,66.145,-65.713611,75,-5,A
171,Timiskaming Rgnl,Earlton,Toronto,Canada,America,YXR,CYXR,47.695,-79.848889,798,-5,A
172,Prince George,Prince George,Vancouver,Canada,America,YXS,CYXS,53.889444,-122.678889,2267,-8,A
173,Terrace,Terrace,Vancouver,Canada,America,YXT,CYXT,54.468508,-128.576219,713,-8,A
174,London,London,Toronto,Canada,America,YXU,CYXU,43.033056,-81.151111,912,-5,A
175,Abbotsford,Abbotsford,Vancouver,Canada,America,YXX,CYXX,49.025278,-122.360556,195,-8,A
176,Whitehorse Intl,Whitehorse,Vancouver,Canada,America,YXY,CYXY,60.709553,-135.067269,2317,-8,A
177,North Bay,North Bay,Toronto,Canada,America,YYB,CYYB,46.363611,-79.422778,1215,-5,A
178,Calgary Intl,Calgary,Edmonton,Canada,America,YYC,CYYC,51.113888,-114.020278,3557,-7,A
179,Smithers,Smithers,Vancouver,Canada,America,YYD,CYYD,54.824722,-127.182778,1712,-8,A
180,Fort Nelson,Fort Nelson,Vancouver,Canada,America,YYE,CYYE,58.836389,-122.596944,1253,-8,A
181,Penticton,Penticton,Vancouver,Canada,America,YYF,CYYF,49.463056,-119.602222,1129,-8,A
182,Charlottetown,Charlottetown,Halifax,Canada,America,YYG,CYYG,46.290001,-63.121111,160,-4,A
183,Taloyoak,Spence Bay,Edmonton,Canada,America,YYH,CYYH,69.546667,-93.576667,92,-7,A
184,Victoria Intl,Victoria,Vancouver,Canada,America,YYJ,CYYJ,48.646944,-123.425833,63,-8,A
185,Lynn Lake,Lynn Lake,Winnipeg,Canada,America,YYL,CYYL,56.863888,-101.07611,1170,-6,A
186,Swift Current,Swift Current,Regina,Canada,America,YYN,CYYN,50.291944,-107.690556,2680,-6,N
187,Churchill,Churchill,Winnipeg,Canada,America,YYQ,CYYQ,58.739167,-94.065,94,-6,A
188,Goose Bay,Goose Bay,Halifax,Canada,America,YYR,CYYR,53.319168,-60.425833,160,-4,A
189,St Johns Intl,St. John's,St Johns,Canada,America,YYT,CYYT,47.61861,-52.751945,461,-3.5,A
190,Kapuskasing,Kapuskasing,Toronto,Canada,America,YYU,CYYU,49.413889,-82.4675,743,-5,A
191,Armstrong,Armstrong,Toronto,Canada,America,YYW,CYYW,50.290279,-88.909721,1058,-5,A
192,Mont Joli,Mont Joli,Toronto,Canada,America,YYY,CYYY,48.608612,-68.208056,172,-5,A
193,Lester B Pearson Intl,Toronto,Toronto,Canada,America,YYZ,CYYZ,43.677223,-79.630556,569,-5,A
194,Downsview,Toronto,Toronto,Canada,America,YZD,CYZD,43.7425,-79.465556,652,-5,A
195,Gore Bay Manitoulin,Gore Bay,Toronto,Canada,America,YZE,CYZE,45.885277,-82.567778,635,-5,A
196,Yellowknife,Yellowknife,Edmonton,Canada,America,YZF,CYZF,62.462778,-114.440278,675,-7,A
197,Slave Lake,Slave Lake,Edmonton,Canada,America,YZH,CYZH,55.293056,-114.777222,1912,-7,A
198,Sandspit,Sandspit,Vancouver,Canada,America,YZP,CYZP,53.254333,-131.813833,21,-8,A
199,Chris Hadfield,Sarnia,Toronto,Canada,America,YZR,CYZR,42.999444,-82.308889,594,-5,A
200,Port Hardy,Port Hardy,Vancouver,Canada,America,YZT,CYZT,50.680556,-127.366667,71,-8,A
201,Whitecourt,Whitecourt,Edmonton,Canada,America,YZU,CYZU,54.14389,-115.786667,2567,-7,A
202,Sept Iles,Sept-iles,Toronto,Canada,America,YZV,CYZV,50.223333,-66.265556,180,-5,A
203,Teslin,Teslin,Vancouver,Canada,America,YZW,CYZW,60.172779,-132.742778,2313,-8,A
204,Greenwood,Greenwood,Halifax,Canada,America,YZX,CYZX,44.984444,-64.916944,92,-4,A
205,Faro,Faro,Vancouver,Canada,America,ZFA,CZFA,62.2075,-133.375833,2351,-8,A
206,Fort Mcpherson,Fort Mcpherson,Edmonton,Canada,America,ZFM,CZFM,67.4075,-134.860556,116,-7,A
207,Blida,Blida,Algiers,Algeria,Africa,,DAAB,36.503613,2.814167,535,1,N
208,Bou Saada,Bou Saada,Algiers,Algeria,Africa,,DAAD,35.3325,4.206389,1506,1,N
209,Soummam,Bejaja,Algiers,Algeria,Africa,BJA,DAAE,36.711997,5.069922,20,1,N
210,Houari Boumediene,Algier,Algiers,Algeria,Africa,ALG,DAAG,36.691014,3.215408,82,1,N
211,Tiska,Djanet,Algiers,Algeria,Africa,DJG,DAAJ,24.292767,9.452444,3176,1,N
212,Boufarik,Boufarik,Algiers,Algeria,Africa,QFD,DAAK,36.545834,2.876111,335,1,N
213,Reggane,Reggan,Algiers,Algeria,Africa,,DAAN,26.710103,0.285647,955,1,N
214,Illizi Takhamalt,Illizi,Algiers,Algeria,Africa,VVZ,DAAP,26.723536,8.622653,1778,1,N
215,Ain Oussera,Ain Oussera,Algiers,Algeria,Africa,,DAAQ,35.525414,2.878714,2132,1,N
216,Tamanrasset,Tamanrasset,Algiers,Algeria,Africa,TMR,DAAT,22.811461,5.451075,4518,1,N
217,Jijel,Jijel,Algiers,Algeria,Africa,GJL,DAAV,36.795136,5.873608,36,1,N
218,Mecheria,Mecheria,Algiers,Algeria,Africa,,DAAY,33.535853,-0.242353,3855,1,N
219,Relizane,Relizane,Algiers,Algeria,Africa,,DAAZ,35.752239,0.626272,282,1,N
220,Annaba,Annaba,Algiers,Algeria,Africa,AAE,DABB,36.822225,7.809167,16,1,N
221,Mohamed Boudiaf Intl,Constantine,Algiers,Algeria,Africa,CZL,DABC,36.276028,6.620386,2265,1,N
222,Cheikh Larbi Tebessi,Tebessa,Algiers,Algeria,Africa,TEE,DABS,35.431611,8.120717,2661,1,N
224,Hassi R Mel,Tilrempt,Algiers,Algeria,Africa,HRM,DAFH,32.930431,3.311542,2540,1,N
225,Bou Chekif,Tiaret,Algiers,Algeria,Africa,TID,DAOB,35.341136,1.463147,3245,1,N
226,Bou Sfer,Bou Sfer,Algiers,Algeria,Africa,,DAOE,35.735389,-0.805389,187,1,N
227,Tindouf,Tindouf,Algiers,Algeria,Africa,TIN,DAOF,27.700372,-8.167103,1453,1,N
228,Ech Cheliff,Ech-cheliff,Algiers,Algeria,Africa,QAS,DAOI,36.212658,1.331775,463,1,N
229,Tafaraoui,Oran,Algiers,Algeria,Africa,TAF,DAOL,35.542444,-0.532278,367,1,N
230,Zenata,Tlemcen,Algiers,Algeria,Africa,TLM,DAON,35.016667,-1.45,814,1,N
231,Es Senia,Oran,Algiers,Algeria,Africa,ORN,DAOO,35.623858,-0.621183,295,1,N
232,Sidi Bel Abbes,Sidi Bel Abbes,Algiers,Algeria,Africa,,DAOS,35.171775,-0.593275,1614,1,N
233,Ghriss,Ghriss,Algiers,Algeria,Africa,MUW,DAOV,35.207725,0.147142,1686,1,N
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algiers,Algeria,Africa,AZR,DAUA,27.837589,-0.186414,919,1,N
235,Biskra,Biskra,Algiers,Algeria,Africa,BSK,DAUB,34.793289,5.738231,289,1,N
236,El Golea,El Golea,Algiers,Algeria,Africa,ELG,DAUE,30.571294,2.859586,1306,1,N
237,Noumerat,Ghardaia,Algiers,Algeria,Africa,GHA,DAUG,32.384106,3.794114,1512,1,N
238,Oued Irara,Hassi Messaoud,Algiers,Algeria,Africa,HME,DAUH,31.672972,6.140444,463,1,N
239,In Salah,In Salah,Algiers,Algeria,Africa,INZ,DAUI,27.251022,2.512017,896,1,N
240,Sidi Mahdi,Touggourt,Algiers,Algeria,Africa,TGR,DAUK,33.067803,6.088672,279,1,N
241,Laghouat,Laghouat,Algiers,Algeria,Africa,LOO,DAUL,33.764383,2.928344,2510,1,N
242,Timimoun,Timimoun,Algiers,Algeria,Africa,TMX,DAUT,29.237119,0.276033,1027,1,N
243,Ouargla,Ouargla,Algiers,Algeria,Africa,OGX,DAUU,31.917223,5.412778,492,1,N
244,In Amenas,Zarzaitine,Algiers,Algeria,Africa,IAM,DAUZ,28.05155,9.642911,1847,1,N
245,Cadjehoun,Cotonou,Porto-Novo,Benin,Africa,COO,DBBB,6.357228,2.384353,19,1,N
246,Ouagadougou,Ouagadougou,Ouagadougou,Burkina Faso,Africa,OUA,DFFD,12.353194,-1.512417,1037,0,N
247,Bobo Dioulasso,Bobo-dioulasso,Ouagadougou,Burkina Faso,Africa,BOY,DFOO,11.160056,-4.330969,1511,0,N
248,Kotoka Intl,Accra,Accra,Ghana,Africa,ACC,DGAA,5.605186,-0.166786,205,0,N
249,Tamale,Tamale,Accra,Ghana,Africa,TML,DGLE,9.557192,-0.863214,553,0,N
250,Wa,Wa,Accra,Ghana,Africa,,DGLW,10.082664,-2.507694,1060,0,N
251,Sunyani,Sunyani,Accra,Ghana,Africa,NYI,DGSN,7.361828,-2.328756,1014,0,N
252,Takoradi,Takoradi,Accra,Ghana,Africa,TKD,DGTK,4.896056,-1.774756,21,0,N
